Cutoff,Home Team,Away Team,Margin,PMF
2026-03-17,UMBC,Howard,-109,1.500542851483431e-10
2026-03-17,UMBC,Howard,-108,2.7425514420640036e-10
2026-03-17,UMBC,Howard,-107,4.882906678093475e-10
2026-03-17,UMBC,Howard,-106,8.482544344407712e-10
2026-03-17,UMBC,Howard,-105,1.4399329844217457e-09
2026-03-17,UMBC,Howard,-104,2.3917536903103133e-09
2026-03-17,UMBC,Howard,-103,3.892154188059427e-09
2026-03-17,UMBC,Howard,-102,6.212433439236165e-09
2026-03-17,UMBC,Howard,-101,9.736265506719136e-09
2026-03-17,UMBC,Howard,-100,1.4997160651626516e-08
2026-03-17,UMBC,Howard,-99,2.272523821360444e-08
2026-03-17,UMBC,Howard,-98,3.390472714186373e-08
2026-03-17,UMBC,Howard,-97,4.9843630279687e-08
2026-03-17,UMBC,Howard,-96,7.225697743210906e-08
2026-03-17,UMBC,Howard,-95,1.0336505264199531e-07
2026-03-17,UMBC,Howard,-94,1.4600791874752843e-07
2026-03-17,UMBC,Howard,-93,2.0377748580781114e-07
2026-03-17,UMBC,Howard,-92,2.811682903594971e-07
2026-03-17,UMBC,Howard,-91,3.8374808239346487e-07
2026-03-17,UMBC,Howard,-90,5.18349269905252e-07
2026-03-17,UMBC,Howard,-89,6.932822601454617e-07
2026-03-17,UMBC,Howard,-88,9.185717742535502e-07
2026-03-17,UMBC,Howard,-87,1.206217307439922e-06
2026-03-17,UMBC,Howard,-86,1.5704790666524245e-06
2026-03-17,UMBC,Howard,-85,2.028190944051876e-06
2026-03-17,UMBC,Howard,-84,2.5991023753781647e-06
2026-03-17,UMBC,Howard,-83,3.3062512803045633e-06
2026-03-17,UMBC,Howard,-82,4.176370675168319e-06
2026-03-17,UMBC,Howard,-81,5.240331970398714e-06
2026-03-17,UMBC,Howard,-80,6.5336283947319575e-06
2026-03-17,UMBC,Howard,-79,8.096902401553854e-06
2026-03-17,UMBC,Howard,-78,9.976521282328823e-06
2026-03-17,UMBC,Howard,-77,1.2225205509022823e-05
2026-03-17,UMBC,Howard,-76,1.4902714521612495e-05
2026-03-17,UMBC,Howard,-75,1.8076594737893944e-05
2026-03-17,UMBC,Howard,-74,2.1822994461109108e-05
2026-03-17,UMBC,Howard,-73,2.6227550067896673e-05
2026-03-17,UMBC,Howard,-72,3.138634734806008e-05
2026-03-17,UMBC,Howard,-71,3.7406961114243877e-05
2026-03-17,UMBC,Howard,-70,4.4409575182125224e-05
2026-03-17,UMBC,Howard,-69,5.252818352148381e-05
2026-03-17,UMBC,Howard,-68,6.19118717801503e-05
2026-03-17,UMBC,Howard,-67,7.272617647462828e-05
2026-03-17,UMBC,Howard,-66,8.515451691537889e-05
2026-03-17,UMBC,Howard,-65,9.939969238803921e-05
2026-03-17,UMBC,Howard,-64,0.00011568543424585552
2026-03-17,UMBC,Howard,-63,0.00013425799939067808
2026-03-17,UMBC,Howard,-62,0.0001553877881437944
2026-03-17,UMBC,Howard,-61,0.0001793709657549988
2026-03-17,UMBC,Howard,-60,0.00020653106279851515
2026-03-17,UMBC,Howard,-59,0.0002372205254974556
2026-03-17,UMBC,Howard,-58,0.0002718221826552626
2026-03-17,UMBC,Howard,-57,0.0003107505914162491
2026-03-17,UMBC,Howard,-56,0.0003544532196046984
2026-03-17,UMBC,Howard,-55,0.0004034114179943678
2026-03-17,UMBC,Howard,-54,0.0004581411316443455
2026-03-17,UMBC,Howard,-53,0.000519193295525436
2026-03-17,UMBC,Howard,-52,0.0005871538561916675
2026-03-17,UMBC,Howard,-51,0.0006626433583770755
2026-03-17,UMBC,Howard,-50,0.00074631603328518
2026-03-17,UMBC,Howard,-49,0.0008388583241654771
2026-03-17,UMBC,Howard,-48,0.0009409867847240124
2026-03-17,UMBC,Howard,-47,0.0010534452871843209
2026-03-17,UMBC,Howard,-46,0.0011770014795905522
2026-03-17,UMBC,Howard,-45,0.001312442436409862
2026-03-17,UMBC,Howard,-44,0.0014605694528159064
2026-03-17,UMBC,Howard,-43,0.0016221919413682345
2026-03-17,UMBC,Howard,-42,0.0017981204002625328
2026-03-17,UMBC,Howard,-41,0.0019891584349945933
2026-03-17,UMBC,Howard,-40,0.0021960938301891645
2026-03-17,UMBC,Howard,-39,0.002419688685469605
2026-03-17,UMBC,Howard,-38,0.0026606686484956952
2026-03-17,UMBC,Howard,-37,0.0029197112995120976
2026-03-17,UMBC,Howard,-36,0.003197433764686009
2026-03-17,UMBC,Howard,-35,0.0034943796598415656
2026-03-17,UMBC,Howard,-34,0.0038110054915059164
2026-03-17,UMBC,Howard,-33,0.004147666667965547
2026-03-17,UMBC,Howard,-32,0.004504603298705835
2026-03-17,UMBC,Howard,-31,0.004881925985509538
2026-03-17,UMBC,Howard,-30,0.005279601831892375
2026-03-17,UMBC,Howard,-29,0.005697440918675877
2026-03-17,UMBC,Howard,-28,0.006135083511525859
2026-03-17,UMBC,Howard,-27,0.006591988280394969
2026-03-17,UMBC,Howard,-26,0.007067421820190143
2026-03-17,UMBC,Howard,-25,0.007560449765873567
2026-03-17,UMBC,Howard,-24,0.008069929792906053
2026-03-17,UMBC,Howard,-23,0.008594506784865353
2026-03-17,UMBC,Howard,-22,0.009132610433766876
2026-03-17,UMBC,Howard,-21,0.009682455514793934
2026-03-17,UMBC,Howard,-20,0.010242045045714973
2026-03-17,UMBC,Howard,-19,0.010809176502349605
2026-03-17,UMBC,Howard,-18,0.01138145121539888
2026-03-17,UMBC,Howard,-17,0.011956287021377101
2026-03-17,UMBC,Howard,-16,0.012530934182118788
2026-03-17,UMBC,Howard,-15,0.013102494524468598
2026-03-17,UMBC,Howard,-14,0.01366794368560162
2026-03-17,UMBC,Howard,-13,0.014224156281471017
2026-03-17,UMBC,Howard,-12,0.01476793374780487
2026-03-17,UMBC,Howard,-11,0.015296034536657283
2026-03-17,UMBC,Howard,-10,0.015805206288608882
2026-03-17,UMBC,Howard,-9,0.01629221954316401
2026-03-17,UMBC,Howard,-8,0.016753902499507436
2026-03-17,UMBC,Howard,-7,0.017187176298243623
2026-03-17,UMBC,Howard,-6,0.017589090263549663
2026-03-17,UMBC,Howard,-5,0.017956856525584687
2026-03-17,UMBC,Howard,-4,0.018287883435984188
2026-03-17,UMBC,Howard,-3,0.018579807195448623
2026-03-17,UMBC,Howard,-2,0.01883052113206884
2026-03-17,UMBC,Howard,-1,0.019038202101973725
2026-03-17,UMBC,Howard,0,0.019201333529596635
2026-03-17,UMBC,Howard,1,0.019318687949231448
2026-03-17,UMBC,Howard,2,0.01938945122145071
2026-03-17,UMBC,Howard,3,0.01941312459247168
2026-03-17,UMBC,Howard,4,0.019389566980753687
2026-03-17,UMBC,Howard,5,0.01931899631688253
2026-03-17,UMBC,Howard,6,0.019201986140996285
2026-03-17,UMBC,Howard,7,0.01903945753316448
2026-03-17,UMBC,Howard,8,0.018832666541405346
2026-03-17,UMBC,Howard,9,0.0185831873568089
2026-03-17,UMBC,Howard,10,0.01829289156340152
2026-03-17,UMBC,Howard,11,0.017963923860027604
2026-03-17,UMBC,Howard,12,0.01759867471101527
2026-03-17,UMBC,Howard,13,0.017199750430437432
2026-03-17,UMBC,Howard,14,0.016769941240443984
2026-03-17,UMBC,Howard,15,0.016312187866878217
2026-03-17,UMBC,Howard,16,0.01582954724503636
2026-03-17,UMBC,Howard,17,0.015325157905206176
2026-03-17,UMBC,Howard,18,0.014802205592103322
2026-03-17,UMBC,Howard,19,0.014263889645415915
2026-03-17,UMBC,Howard,20,0.01371339063154942
2026-03-17,UMBC,Howard,21,0.013153839670748162
2026-03-17,UMBC,Howard,22,0.012588289850639381
2026-03-17,UMBC,Howard,23,0.012019690058598664
2026-03-17,UMBC,Howard,24,0.011450861502922169
2026-03-17,UMBC,Howard,25,0.01088447712835687
2026-03-17,UMBC,Howard,26,0.010323044066774381
2026-03-17,UMBC,Howard,27,0.009768889200257425
2026-03-17,UMBC,Howard,28,0.009224147853037693
2026-03-17,UMBC,Howard,29,0.008690755571834761
2026-03-17,UMBC,Howard,30,0.008170442902252509
2026-03-17,UMBC,Howard,31,0.0076647330228263606
2026-03-17,UMBC,Howard,32,0.007174942058693087
2026-03-17,UMBC,Howard,33,0.006702181864062359
2026-03-17,UMBC,Howard,34,0.006247365036879536
2026-03-17,UMBC,Howard,35,0.005811211910256848
2026-03-17,UMBC,Howard,36,0.005394259253210161
2026-03-17,UMBC,Howard,37,0.004996870407611235
2026-03-17,UMBC,Howard,38,0.004619246588561337
2026-03-17,UMBC,Howard,39,0.0042614390810202666
2026-03-17,UMBC,Howard,40,0.003923362075821376
2026-03-17,UMBC,Howard,41,0.0036048059024564845
2026-03-17,UMBC,Howard,42,0.0033054504334922344
2026-03-17,UMBC,Howard,43,0.003024878455450991
2026-03-17,UMBC,Howard,44,0.002762588822745506
2026-03-17,UMBC,Howard,45,0.0025180092341278762
2026-03-17,UMBC,Howard,46,0.002290508494481831
2026-03-17,UMBC,Howard,47,0.002079408148099346
2026-03-17,UMBC,Howard,48,0.0018839933923529087
2026-03-17,UMBC,Howard,49,0.0017035232024930505
2026-03-17,UMBC,Howard,50,0.001537239618831389
2026-03-17,UMBC,Howard,51,0.0013843761665502559
2026-03-17,UMBC,Howard,52,0.0012441653956197834
2026-03-17,UMBC,Howard,53,0.001115845543675755
2026-03-17,UMBC,Howard,54,0.0009986663381500382
2026-03-17,UMBC,Howard,55,0.0008918939654351441
2026-03-17,UMBC,Howard,56,0.0007948152444358093
2026-03-17,UMBC,Howard,57,0.0007067410495802714
2026-03-17,UMBC,Howard,58,0.0006270090343291494
2026-03-17,UMBC,Howard,59,0.0005549857105493592
2026-03-17,UMBC,Howard,60,0.0004900679419494458
2026-03-17,UMBC,Howard,61,0.0004316839112459514
2026-03-17,UMBC,Howard,62,0.00037929362099793813
2026-03-17,UMBC,Howard,63,0.0003323889872592938
2026-03-17,UMBC,Howard,64,0.0002904935835040483
2026-03-17,UMBC,Howard,65,0.0002531620898217359
2026-03-17,UMBC,Howard,66,0.00021997949929407945
2026-03-17,UMBC,Howard,67,0.0001905601298791425
2026-03-17,UMBC,Howard,68,0.0001645464861644048
2026-03-17,UMBC,Howard,69,0.00014160801111702618
2026-03-17,UMBC,Howard,70,0.00012143976356052683
2026-03-17,UMBC,Howard,71,0.00010376105263673252
2026-03-17,UMBC,Howard,72,8.831405605687161e-05
2026-03-17,UMBC,Howard,73,7.486244458552664e-05
2026-03-17,UMBC,Howard,74,6.319003100782132e-05
2026-03-17,UMBC,Howard,75,5.309945786864307e-05
2026-03-17,UMBC,Howard,76,4.4410934600135364e-05
2026-03-17,UMBC,Howard,77,3.6961031319422574e-05
2026-03-17,UMBC,Howard,78,3.06015336230582e-05
2026-03-17,UMBC,Howard,79,2.5198360158898905e-05
2026-03-17,UMBC,Howard,80,2.0630542640386988e-05
2026-03-17,UMBC,Howard,81,1.6789266291592805e-05
